,Search Term,animal welfare
573,2014-12-27,48.52071396475871
574,2015-01-03,52.15976751211562
575,2015-01-10,55.79882105947252
576,2015-01-17,53.372785361234584
577,2015-01-24,52.15976751211562
578,2015-01-31,51.55325858755614
579,2015-02-07,47.914205040199235
580,2015-02-14,49.73373181387768
581,2015-02-21,52.766276436675106
582,2015-02-28,52.766276436675106
583,2015-03-07,55.79882105947252
584,2015-03-14,58.224856757710455
585,2015-03-21,49.1272228893182
586,2015-03-28,52.15976751211562
587,2015-04-04,46.09467826652078
588,2015-04-11,57.61834783315097
589,2015-04-18,55.192312134913045
590,2015-04-25,57.61834783315097
591,2015-05-02,50.34024073843717
592,2015-05-09,47.914205040199235
593,2015-05-16,46.701187191080265
594,2015-05-23,50.94674966299665
595,2015-05-30,50.94674966299665
596,2015-06-06,43.062133643723364
597,2015-06-13,48.52071396475871
598,2015-06-20,49.1272228893182
599,2015-06-27,50.34024073843717
600,2015-07-04,47.30769611563975
601,2015-07-11,46.701187191080265
602,2015-07-18,46.09467826652078
603,2015-07-25,53.372785361234584
604,2015-08-01,49.73373181387768
605,2015-08-08,55.79882105947252
606,2015-08-15,48.52071396475871
607,2015-08-22,43.062133643723364
608,2015-08-29,53.372785361234584
609,2015-09-05,44.88166041740181
610,2015-09-12,59.43787460682943
611,2015-09-19,50.94674966299665
612,2015-09-26,49.1272228893182
613,2015-10-03,54.58580321035355
614,2015-10-10,55.79882105947252
615,2015-10-17,60.650892455948394
616,2015-10-24,50.94674966299665
617,2015-10-31,52.766276436675106
618,2015-11-07,52.766276436675106
619,2015-11-14,52.15976751211562
620,2015-11-21,46.701187191080265
621,2015-11-28,50.34024073843717
622,2015-12-05,49.73373181387768
623,2015-12-12,47.914205040199235
624,2015-12-19,42.45562471916388
625,2015-12-26,41.24260687004491
626,2016-01-02,56.40532998403201
627,2016-01-09,47.914205040199235
628,2016-01-16,49.1272228893182
629,2016-01-23,45.488169341961296
630,2016-01-30,52.15976751211562
631,2016-02-06,50.34024073843717
632,2016-02-13,45.488169341961296
633,2016-02-20,53.97929428579407
634,2016-02-27,56.40532998403201
635,2016-03-05,53.372785361234584
636,2016-03-12,55.192312134913045
637,2016-03-19,48.52071396475871
638,2016-03-26,57.01183890859149
639,2016-04-02,52.766276436675106
640,2016-04-09,54.58580321035355
641,2016-04-16,50.34024073843717
642,2016-04-23,52.766276436675106
643,2016-04-30,58.83136568226994
644,2016-05-07,52.766276436675106
645,2016-05-14,54.58580321035355
646,2016-05-21,53.372785361234584
647,2016-05-28,46.701187191080265
648,2016-06-04,47.30769611563975
649,2016-06-11,44.275151492842326
650,2016-06-18,49.1272228893182
651,2016-06-25,46.09467826652078
652,2016-07-02,47.30769611563975
653,2016-07-09,46.701187191080265
654,2016-07-16,55.192312134913045
655,2016-07-23,45.488169341961296
656,2016-07-30,45.488169341961296
657,2016-08-06,36.39053547356904
658,2016-08-13,42.45562471916388
659,2016-08-20,52.15976751211562
660,2016-08-27,46.701187191080265
661,2016-09-03,46.09467826652078
662,2016-09-10,52.766276436675106
663,2016-09-17,52.15976751211562
664,2016-09-24,46.09467826652078
665,2016-10-01,47.30769611563975
666,2016-10-08,49.73373181387768
667,2016-10-15,51.55325858755614
668,2016-10-22,44.88166041740181
669,2016-10-29,41.24260687004491
670,2016-11-05,28.505919454295746
671,2016-11-12,31.538464077093163
672,2016-11-19,20.621303435022455
673,2016-11-26,31.538464077093163
674,2016-12-03,32.303322622350436
675,2016-12-10,31.036525656768067
676,2016-12-17,19.635352966526735
677,2016-12-24,19.00195448373555
678,2016-12-31,26.60273627722977
679,2017-01-07,27.869533242812146
680,2017-01-14,30.403127173976884
681,2017-01-21,29.13633020839451
682,2017-01-28,45.604690760965326
683,2017-02-04,63.339848279118506
684,2017-02-11,36.103713519097546
685,2017-02-18,32.93672110514162
686,2017-02-25,34.203518070723995
687,2017-03-04,33.57011958793281
688,2017-03-11,31.036525656768067
689,2017-03-18,34.203518070723995
690,2017-03-25,32.93672110514162
691,2017-04-01,32.93672110514162
692,2017-04-08,28.502931725603325
693,2017-04-15,29.769728691185698
694,2017-04-22,34.83691655351518
695,2017-04-29,33.57011958793281
696,2017-05-06,30.403127173976884
697,2017-05-13,29.769728691185698
698,2017-05-20,25.96933779443859
699,2017-05-27,27.869533242812146
700,2017-06-03,24.069142346065032
701,2017-06-10,23.435743863273846
702,2017-06-17,26.60273627722977
703,2017-06-24,24.70254082885622
704,2017-07-01,30.403127173976884
705,2017-07-08,31.036525656768067
706,2017-07-15,23.435743863273846
707,2017-07-22,23.435743863273846
708,2017-07-29,25.335939311647397
709,2017-08-05,26.60273627722977
710,2017-08-12,27.23613476002096
711,2017-08-19,25.96933779443859
712,2017-08-26,30.403127173976884
713,2017-09-02,29.13633020839451
714,2017-09-09,32.303322622350436
715,2017-09-16,25.96933779443859
716,2017-09-23,29.769728691185698
717,2017-09-30,27.23613476002096
718,2017-10-07,30.403127173976884
719,2017-10-14,25.96933779443859
720,2017-10-21,32.303322622350436
721,2017-10-28,28.502931725603325
722,2017-11-04,32.303322622350436
723,2017-11-11,31.036525656768067
724,2017-11-18,28.502931725603325
725,2017-11-25,29.13633020839451
726,2017-12-02,31.669924139559253
727,2017-12-09,27.869533242812146
728,2017-12-16,24.70254082885622
729,2017-12-23,17.73515751815318
730,2017-12-30,25.96933779443859
731,2018-01-06,31.036525656768067
732,2018-01-13,26.60273627722977
733,2018-01-20,30.403127173976884
734,2018-01-27,34.83691655351518
735,2018-02-03,29.13633020839451
736,2018-02-10,31.669924139559253
737,2018-02-17,41.80429986421821
738,2018-02-24,50.03848014050363
739,2018-03-03,47.50488620933888
740,2018-03-10,56.37246496841547
741,2018-03-17,55.73906648562429
742,2018-03-24,51.30527710608599
743,2018-03-31,54.47226952004192
744,2018-04-07,57.00586345120665
745,2018-04-14,62.70644979632733
746,2018-04-21,57.639261933997844
747,2018-04-28,57.00586345120665
748,2018-05-05,48.77168317492125
749,2018-05-12,57.639261933997844
750,2018-05-19,57.00586345120665
751,2018-05-26,46.238089243756505
752,2018-06-02,50.03848014050363
753,2018-06-09,50.671878623294795
754,2018-06-16,41.170901381427036
755,2018-06-23,41.80429986421821
756,2018-06-30,41.170901381427036
757,2018-07-07,45.604690760965326
758,2018-07-14,45.604690760965326
759,2018-07-21,40.53750289863584
760,2018-07-28,43.07109682980059
761,2018-08-04,38.637307450262284
762,2018-08-11,43.07109682980059
763,2018-08-18,37.37051048467991
764,2018-08-25,34.83691655351518
765,2018-09-01,38.0039089674711
766,2018-09-08,46.87148772654769
767,2018-09-15,46.87148772654769
768,2018-09-22,50.671878623294795
769,2018-09-29,48.77168317492125
770,2018-10-06,46.87148772654769
771,2018-10-13,41.170901381427036
772,2018-10-20,41.170901381427036
773,2018-10-27,43.07109682980059
774,2018-11-03,51.30527710608599
775,2018-11-10,46.87148772654769
776,2018-11-17,39.27070593305347
