,Search Term,plant based recipes
742,2023-02-18,22.47142857142857
743,2023-02-25,19.066666666666666
744,2023-03-04,20.42857142857143
745,2023-03-11,18.385714285714286
746,2023-03-18,17.704761904761902
747,2023-03-25,16.34285714285714
748,2023-04-01,17.704761904761902
749,2023-04-08,24.514285714285712
750,2023-04-15,22.47142857142857
751,2023-04-22,21.79047619047619
752,2023-04-29,18.385714285714286
753,2023-05-06,20.42857142857143
754,2023-05-13,17.023809523809526
755,2023-05-20,20.42857142857143
756,2023-05-27,16.34285714285714
757,2023-06-03,17.704761904761902
758,2023-06-10,19.747619047619047
759,2023-06-17,15.661904761904763
760,2023-06-24,17.023809523809526
761,2023-07-01,15.661904761904763
762,2023-07-08,17.023809523809526
763,2023-07-15,16.34285714285714
764,2023-07-22,17.023809523809526
765,2023-07-29,17.023809523809526
766,2023-08-05,19.747619047619047
767,2023-08-12,14.980952380952381
768,2023-08-19,16.34285714285714
769,2023-08-26,16.34285714285714
770,2023-09-02,17.704761904761902
771,2023-09-09,18.385714285714286
772,2023-09-16,14.980952380952381
773,2023-09-23,12.938095238095237
774,2023-09-30,14.299999999999999
775,2023-10-07,17.023809523809526
776,2023-10-14,17.023809523809526
777,2023-10-21,17.023809523809526
778,2023-10-28,14.980952380952381
779,2023-11-04,14.980952380952381
780,2023-11-11,11.576190476190476
781,2023-11-18,12.938095238095237
782,2023-11-25,12.938095238095237
783,2023-12-02,13.61904761904762
784,2023-12-09,13.61904761904762
785,2023-12-16,11.576190476190476
786,2023-12-23,17.704761904761902
787,2023-12-30,68.0952380952381
788,2024-01-06,65.37142857142857
789,2024-01-13,44.94285714285714
790,2024-01-20,31.323809523809526
791,2024-01-27,26.557142857142857
792,2024-02-03,25.195238095238093
793,2024-02-10,16.34285714285714
794,2024-02-17,18.385714285714286
795,2024-02-24,19.066666666666666
796,2024-03-02,17.023809523809526
797,2024-03-09,17.704761904761902
798,2024-03-16,20.42857142857143
799,2024-03-23,20.42857142857143
800,2024-03-30,12.938095238095237
801,2024-04-06,14.299999999999999
802,2024-04-13,14.299999999999999
803,2024-04-20,17.023809523809526
804,2024-04-27,14.980952380952381
805,2024-05-04,14.299999999999999
806,2024-05-11,16.34285714285714
807,2024-05-18,14.299999999999999
808,2024-05-25,11.576190476190476
