,Search Term,forks over knives
690,2022-02-19,14.671304829240729
691,2022-02-26,10.377264391414172
692,2022-03-05,11.808611204023025
693,2022-03-12,12.524284610327449
694,2022-03-19,12.166447907175236
695,2022-03-26,12.166447907175236
696,2022-04-02,12.882121313479661
697,2022-04-09,12.882121313479661
698,2022-04-16,12.166447907175236
699,2022-04-23,12.166447907175236
700,2022-04-30,11.092937797718598
701,2022-05-07,11.092937797718598
702,2022-05-14,11.092937797718598
703,2022-05-21,10.735101094566385
704,2022-05-28,11.092937797718598
705,2022-06-04,10.735101094566385
706,2022-06-11,11.092937797718598
707,2022-06-18,10.735101094566385
708,2022-06-25,11.808611204023025
709,2022-07-02,12.166447907175236
710,2022-07-09,11.092937797718598
711,2022-07-16,11.45077450087081
712,2022-07-23,10.735101094566385
713,2022-07-30,12.166447907175236
714,2022-08-06,11.808611204023025
715,2022-08-13,12.166447907175236
716,2022-08-20,12.166447907175236
717,2022-08-27,11.45077450087081
718,2022-09-03,10.735101094566385
719,2022-09-10,10.377264391414172
720,2022-09-17,11.808611204023025
721,2022-09-24,11.092937797718598
722,2022-10-01,11.808611204023025
723,2022-10-08,11.45077450087081
724,2022-10-15,10.735101094566385
725,2022-10-22,10.735101094566385
726,2022-10-29,11.45077450087081
727,2022-11-05,12.166447907175236
728,2022-11-12,11.45077450087081
729,2022-11-19,10.735101094566385
730,2022-11-26,10.377264391414172
731,2022-12-03,10.01942768826196
732,2022-12-10,9.303754281957534
733,2022-12-17,10.735101094566385
734,2022-12-24,12.524284610327449
735,2022-12-31,13.597794719784087
736,2023-01-07,11.45077450087081
737,2023-01-14,13.597794719784087
738,2023-01-21,12.524284610327449
739,2023-01-28,10.735101094566385
740,2023-02-04,11.45077450087081
741,2023-02-11,10.377264391414172
742,2023-02-18,10.377264391414172
743,2023-02-25,10.01942768826196
744,2023-03-04,10.01942768826196
745,2023-03-11,10.01942768826196
746,2023-03-18,10.735101094566385
747,2023-03-25,11.808611204023025
748,2023-04-01,10.01942768826196
749,2023-04-08,9.303754281957534
750,2023-04-15,10.735101094566385
751,2023-04-22,10.377264391414172
752,2023-04-29,10.01942768826196
753,2023-05-06,9.303754281957534
754,2023-05-13,9.661590985109747
755,2023-05-20,8.588080875653107
756,2023-05-27,8.945917578805322
757,2023-06-03,9.661590985109747
758,2023-06-10,10.01942768826196
759,2023-06-17,8.230244172500896
760,2023-06-24,8.945917578805322
761,2023-07-01,10.01942768826196
762,2023-07-08,8.588080875653107
763,2023-07-15,8.230244172500896
764,2023-07-22,9.303754281957534
765,2023-07-29,8.945917578805322
766,2023-08-05,8.230244172500896
767,2023-08-12,8.945917578805322
768,2023-08-19,8.230244172500896
769,2023-08-26,8.945917578805322
770,2023-09-02,7.8724074693486825
771,2023-09-09,7.8724074693486825
772,2023-09-16,8.588080875653107
773,2023-09-23,8.230244172500896
774,2023-09-30,8.230244172500896
775,2023-10-07,7.51457076619647
776,2023-10-14,7.8724074693486825
777,2023-10-21,8.230244172500896
778,2023-10-28,7.156734063044256
779,2023-11-04,7.51457076619647
780,2023-11-11,7.8724074693486825
781,2023-11-18,7.51457076619647
782,2023-11-25,7.156734063044256
783,2023-12-02,7.51457076619647
784,2023-12-09,6.7988973598920435
785,2023-12-16,8.230244172500896
786,2023-12-23,8.588080875653107
787,2023-12-30,13.597794719784087
788,2024-01-06,12.524284610327449
789,2024-01-13,11.808611204023025
790,2024-01-20,10.735101094566385
791,2024-01-27,10.01942768826196
792,2024-02-03,11.45077450087081
793,2024-02-10,9.661590985109747
794,2024-02-17,10.377264391414172
795,2024-02-24,9.303754281957534
796,2024-03-02,8.945917578805322
797,2024-03-09,7.51457076619647
798,2024-03-16,8.230244172500896
799,2024-03-23,9.303754281957534
800,2024-03-30,7.8724074693486825
801,2024-04-06,7.156734063044256
802,2024-04-13,6.083223953587618
803,2024-04-20,7.51457076619647
804,2024-04-27,8.588080875653107
805,2024-05-04,7.51457076619647
806,2024-05-11,7.156734063044256
807,2024-05-18,7.51457076619647
808,2024-05-25,7.156734063044256
