ds,Time,Month,taylor_swift,taylor_swift_lyrics,taylor_swift_album,taylor_swift_songs,taylor_swift_tour,speak_now,ts_1989,red,reputation,lover,drake,drake_lyrics,drake_album,drake_songs,drake_tour,views,scorpion,nwts,tml,take_care,all_ts_albums,all_drake_albums
2010-01-31,73,2,23.0,4.14,0.30000000000000004,1.1700000000000002,0.28,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,18.11842105263158,4.3618421052631575,0.3271381578947369,0.6542763157894737,0.21138157894736845,0.0,0.0,0.0,1.08,0.0,0.9525817555938039,1.08
2010-02-28,74,3,15.0,2.88,0.20000000000000004,0.9600000000000001,0.35000000000000003,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,21.473684210526315,6.207236842105263,0.523421052631579,0.8891447368421053,0.16440789473684211,0.0,0.0,0.0,4.68,0.0,0.9525817555938039,4.68
2010-03-31,75,4,14.0,2.61,0.15000000000000002,0.8700000000000001,0.28,0.0,0.2857142857142857,0.9,0.0,0.2168674698795181,24.82894736842105,6.375,0.45799342105263163,0.9226973684210527,0.21138157894736845,0.0,0.0,0.0,3.5999999999999996,0.0,1.4025817555938038,3.5999999999999996
2010-04-30,76,5,14.0,2.25,0.15000000000000002,0.9,0.35000000000000003,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,29.526315789473685,8.388157894736842,0.6542763157894738,1.174342105263158,0.14092105263157895,0.0,0.0,0.0,7.56,0.0,0.9525817555938039,7.56
2010-05-31,77,6,11.0,2.07,0.15000000000000002,0.7500000000000001,0.21000000000000002,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,38.921052631578945,11.743421052631579,2.420822368421053,1.2414473684210527,0.18789473684210528,0.0,0.0,0.0,36.0,0.0,0.9525817555938039,36.0
2010-06-30,78,7,9.0,1.6199999999999999,0.25000000000000006,0.63,0.14,0.6923076923076923,0.2857142857142857,0.45,0.0,0.2168674698795181,31.539473684210524,10.736842105263158,0.9814144736842106,0.9898026315789473,0.23486842105263162,0.0,0.0,0.0,11.16,0.0,1.6448894479014962,11.16
2010-07-31,79,8,16.0,3.96,0.4000000000000001,0.8700000000000001,0.14,1.7307692307692308,0.2857142857142857,0.45,0.0,0.2168674698795181,30.19736842105263,9.394736842105264,0.523421052631579,0.9226973684210527,0.21138157894736845,0.0,0.0,0.0,5.76,0.0,2.6833509863630347,5.76
2010-08-31,80,9,18.0,4.5,0.5000000000000001,0.8400000000000001,0.21000000000000002,3.1153846153846154,0.2857142857142857,0.45,0.0,0.2168674698795181,30.19736842105263,8.891447368421053,0.45799342105263163,0.95625,0.25835526315789475,0.0,0.0,0.0,5.04,0.0,4.067966370978419,5.04
2010-09-30,81,10,30.0,9.0,1.9000000000000004,1.4100000000000001,0.35000000000000003,34.61538461538461,0.2857142857142857,0.45,0.0,0.2168674698795181,27.513157894736842,8.555921052631579,0.45799342105263163,0.9730263157894737,0.18789473684210528,0.0,0.0,0.0,3.5999999999999996,0.0,35.56796637097842,3.5999999999999996
2010-10-31,82,11,33.0,8.82,1.3000000000000003,1.59,0.7000000000000001,21.807692307692307,0.2857142857142857,0.45,0.0,0.2168674698795181,28.184210526315788,8.723684210526315,0.39256578947368426,0.9898026315789473,0.14092105263157895,0.0,0.0,0.0,1.7999999999999998,0.0,22.76027406328611,1.7999999999999998
